valid-begin-session.hex 1 0 1 0 -
valid-end-session.hex 2 0 1 0 -
valid-ping.hex 3 0 1 0 -
valid-error.hex 4 0 1 0 00000000
valid-set-rtx-mode.hex 5 0 1 0 00
valid-create-buffer.hex 16 0 1 7 0010000000000000
valid-destroy-resource.hex 17 0 1 7 -
valid-begin-frame.hex 32 0 1 0 0400000000000000111111111111b13f0ad7233df4fd543d000040408002000068010000010000000000000000000000
valid-draw.hex 33 0 1 0 00000000000000000000000000000000
valid-end-frame.hex 34 0 1 0 -
valid-resize.hex 35 0 1 0 80020000680100000100000000000000
valid-frame-accepted.hex 48 0 1 0 02000000000000000400000000000000010000000000000000000000000000000100000000000000
